s f loss loss_err accuracy accuracy_err
1 0.1 1.0122 +/-0.0062 65.75 +/-0.27
2 0.1 1.0045 +/-0.0043 65.86 +/-0.06
3 0.1 1.0125 +/-0.0035 65.51 +/-0.12
4 0.1 1.0315 +/-0.022 64.66 +/-0.75
5 0.1 1.0101 +/-0.0078 65.77 +/-0.23
6 0.1 1.0105 +/-0.006 65.7 +/-0.17
10 0.1 1.0081 +/-0.0025 65.77 +/-0.03
1 0.5 1.0295 +/-0.0053 65.09 +/-0.21
2 0.5 1.0257 +/-0.0023 65.26 +/-0.09
3 0.5 1.017 +/-0.0065 65.31 +/-0.39
4 0.5 1.0134 +/-0.0063 65.37 +/-0.21
5 0.5 1.0158 +/-0.0079 65.31 +/-0.34
6 0.5 1.0201 +/-0.0047 65.29 +/-0.23
10 0.5 1.0134 +/-0.004 65.5 +/-0.09
1 1.0 1.0411 +/-0.0084 64.25 +/-0.32
2 1.0 1.0378 +/-0.0067 64.49 +/-0.14
3 1.0 1.0399 +/-0.0019 64.37 +/-0.26
4 1.0 1.0436 +/-0.0068 64.13 +/-0.29
5 1.0 1.0438 +/-0.0094 64.3 +/-0.53
6 1.0 1.0523 +/-0.0044 63.95 +/-0.12
10 1.0 1.0473 +/-0.0069 64.21 +/-0.37
1 2.0 1.0539 +/-0.0016 63.78 +/-0.08
2 2.0 1.0626 +/-0.0025 63.67 +/-0.23
3 2.0 1.0705 +/-0.0078 63.24 +/-0.51
4 2.0 1.0723 +/-0.0024 62.95 +/-0.12
5 2.0 1.0695 +/-0.0054 63.17 +/-0.19
6 2.0 1.0797 +/-0.0065 62.96 +/-0.23
10 2.0 1.1128 +/-0.0192 61.44 +/-0.75
1 3.0 1.0621 +/-0.0022 63.42 +/-0.11
2 3.0 1.0766 +/-0.0047 63.07 +/-0.23
3 3.0 1.0916 +/-0.0048 62.2 +/-0.16
4 3.0 1.101 +/-0.0093 62.12 +/-0.42
5 3.0 1.0913 +/-0.0055 62.67 +/-0.03
6 3.0 1.1036 +/-0.0021 61.88 +/-0.06
10 3.0 1.0994 +/-0.0175 61.78 +/-0.59
1 5.0 1.0879 +/-0.0011 62.63 +/-0.15
2 5.0 1.1076 +/-0.0012 61.54 +/-0.05
3 5.0 1.1116 +/-0.0053 61.52 +/-0.24
4 5.0 1.1178 +/-0.0058 61.38 +/-0.17
5 5.0 1.1131 +/-0.0034 61.53 +/-0.18
6 5.0 1.1122 +/-0.0054 61.4 +/-0.15
10 5.0 1.1212 +/-0.0062 61.38 +/-0.11
1 7.0 1.0922 +/-0.0062 62.48 +/-0.26
2 7.0 1.1276 +/-0.0033 60.94 +/-0.09
3 7.0 1.1162 +/-0.0108 61.41 +/-0.43
4 7.0 1.1275 +/-0.0112 61.01 +/-0.38
5 7.0 1.1298 +/-0.0059 60.79 +/-0.18
6 7.0 1.1261 +/-0.0055 61.19 +/-0.11
10 7.0 1.1242 +/-0.0026 61.27 +/-0.09
